Type,Equipment,name,Brand,Size,Table_Size,Spindle_motor,Spindle_speed,Travel_distance(X/Y/Z),Location,Company
Vertical Machining Center,Machine Tool,VM5020,Milltronics,2845W x 2764L x 2591H,1320mm x 508mm,11KW,10000RPM,1270mm x 508mm x 508mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Vertical Machining Center,Machine Tool,VM16,Milltronics,2362W x 2362L x 2794H,1143mm x 508mm,18KW,8000RPM,762mm x 508mm x 508mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Horizontal Machining Center,Machine Tool,ES-5-4-AX,HAAS,None,1321mm x 508mm,15KW,12000RPM,1016mm x 559mm x 457mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Vertical Machining Center,Machine Tool,VM30,Milltronics,None,1676mm x 762 mm,18KW,8000RPM,1524mm x 762mm x 610mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Horizontal Machining Center,Machine Tool,HS-1,HAAS,3632W x 2794L x 2820H,None,15KW,7500RPM,610mm x 508mm x 559mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Vertical Machining Center,Machine Tool,Series II,Bridgeport,2432W x 1753L x 2108H,1473mm x 279mm,3KW,3500 RPM,851mm x 381mm x 406mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Vertical Machining Center,Machine Tool,RW-14,Milltronics,1854W x 1854H x 2235L,762mm x 356mm,11KW,8000RPM,610mm x 356mm x 521mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Horizontal Machining Center,Machine Tool,EC-500,HAAS,5840W x 3200L x 3000H,928mm x 749mm,22KW,7500RPM,813mm x 635mm 711mm,"323 E Roosevelt Ave, Zeeland, Michigan",PROCAM
Vertical Machining Center,Machine Tool,VM 40 II,HITACHI SEIKI,2330W x 2085L x 2550H,760mm x 410 mm,None,8000RPM,559mm x 406mm x 406mm,"5349 W 161st St, Cleveland, Ohio",Criterion
Vertical Machining Center,Machine Tool,MyCenter-2Xi,Kitamura,2165W x 24232L x 2825H,768mm x 355 mm,11KW,10000RPM,511mm x 356mm x 460mm,"5349 W 161st St, Cleveland, Ohio",Criterion
Vertical Machining Center,Machine Tool,DMU-50,DMG,2337W x 2845L x 2743H,630mm x 500 mm,20KW,10000RPM,498mm x 450mm x 400mm,"5349 W 161st St, Cleveland, Ohio",Criterion
Vertical Machining Center,Machine Tool,DuraVertical 5100,Mori Seiki,2718W x 2311L x 2667H,1349mm x 599 mm,11KW,12000RPM,1049mm x 531mm x 511mm,"5349 W 161st St, Cleveland, Ohio",Criterion
CNC Machining Center,Machine Tool,VF-1,HAAS,2570W x 2510L x 2570H,660mm x 356mm,22KW,8100RPM,508mm x 406mm x 508mm,"1043 Kaiser Rd SW, Olympia, Washington",dti EXACT
CNC Machining Center,Machine Tool,VF-3,HAAS,3870W 2510L x 2690H,1219mm x 457 mm,22KW,8100RPM,1016mm x 508mm x 635mm,"1043 Kaiser Rd SW, Olympia, Washington",dti EXACT
CNC Machining Center,Machine Tool,KVR 1824,Kent,2896W x 2347L x 2713H,760mm x 460 mm,None,10000RPM,610mm x 460mm x 480mm,"7081 International Dr, Louisville, Kentucky",MIYAMA
Vertical Machining Center,Machine Tool,F-23,Aurora Seiki,2255W x 1900L x 2370H,650mm x 420mm,8KW,10000RPM,580mm x 420mm x 510mm,"7081 International Dr, Louisville, Kentucky",MIYAMA
Vertical Machining Center,Machine Tool,TC-510,LK,2540W x 1676L x 2438H,650mm x 420mm,5KW,12000RPM,510mm x 410mm x 360mm,"7081 International Dr, Louisville, Kentucky",MIYAMA
CNC Machining Center,Machine Tool,TSV 35,Miyano,1880W x 1499L x 2718H,640mm x 380mm,5KW,8000RPM,485mm x 360mm x 225mm,"7081 International Dr, Louisville, Kentucky",MIYAMA
Vertical Machining Center,Machine Tool,VMC 2216FX,Fadal,2134W x 2489L x 2743H,410mm x 990mm,11KW,10000RPM,560mm x 460mm x 510mm,"7081 International Dr, Louisville, Kentucky",MIYAMA
Vertical Machining Center,Machine Tool,DNM 650 II,Doosan,3350W x 2792L x 2815H,1300mm x 670mm ,11KW,8000RPM,1270mm x 670mm x 625mm,"196 Alwine Rd, Saxonburg, Pennsylvania",PENN UNITED
Vertical Machining Center,Machine Tool,V55,Makino,2400W x 3113L x 3140H,500mm x 1000mm,22KW,20000RPM,900mm x 500mm x 450mm,"196 Alwine Rd, Saxonburg, Pennsylvania",PENN UNITED
Vertical Machining Center,Machine Tool,NV5000,Mori Seiki,3040W x 2788L x 2603H,1320mm x 660mm,22KW,14000RPM,1020mm x 510mm x 510mm,"196 Alwine Rd, Saxonburg, Pennsylvania",PENN UNITED
JIG MILLING,Machine Tool,2B-36,Devlieg,2743W x 2896L x 2083H,610mm x 914mm,3.7KW,2000RPM,None,"2019 Wood-Bridge Blvd, Bowling Green, Ohio",CENTAUR
Vertical Machining Center,Machine Tool,VCS 530C,MAZAK,2950W x 2929L x 2870H,1300mm x 550mm,19KW,12000RPM,1050mm x 530mm x 510mm,"2019 Wood-Bridge Blvd, Bowling Green, Ohio",CENTAUR
